study,dataset,variable,concept,questionnaire,question_number,question_item,dataset-raw,variable-raw
soep-test,ah-raw,hkind,hkind,test-2001-hh,1,,,
soep-test,ah-raw,hkind_dummy,hkind_dummy,test-2001-hh,2,,,
soep-test,ah-raw,hkgeba,hkgeba,test-2001-hh,3,,,
soep-test,ah-raw,hkgebb,hkgebb,test-2001-hh,4,,,
soep-test,ah-raw,hkgebc,hkgebc,test-2001-hh,5,,,
soep-test,ah-raw,hkgebd,hkgebd,test-2001-hh,6,,,
soep-test,ah-raw,hvj,hvj,test-2001-hh,7,,,
soep-test,ah-raw,hwohn01,hwohn01,test-2001-hh,8,,,
soep-test,ah-raw,hm04,hm04,test-2001-hh,9,,,
soep-test,ah-raw,hnetto,hnetto,test-2001-hh,10,,,
soep-test,ah,ah01,hkind,test-2001-hh,1,,ah-raw,hkind
soep-test,ah,ah02,hkind_dummy,test-2001-hh,2,,ah-raw,hkind_dummy
soep-test,ah,ah03,hkgeba,test-2001-hh,3,,ah-raw,hkgeba
soep-test,ah,ah04,hkgebb,test-2001-hh,4,,ah-raw,hkgebb
soep-test,ah,ah05,hkgebc,test-2001-hh,5,,ah-raw,hkgebc
soep-test,ah,ah06,hkgebd,test-2001-hh,6,,ah-raw,hkgebd
soep-test,ah,ah07,hvj,test-2001-hh,7,,ah-raw,hvj
soep-test,ah,ah08,hwohn01,test-2001-hh,8,,ah-raw,hwohn01
soep-test,ah,ah09,hm04,test-2001-hh,9,,ah-raw,hm04
soep-test,ah,ah10,hnetto,test-2001-hh,10,,ah-raw,hnetto
soep-test,al-raw,lsta1,lsta1,test-2001-ll,1,,,
soep-test,al-raw,lzug01,lzug01,test-2001-ll,2,,,
soep-test,al-raw,lzug02,lzug02,test-2001-ll,3,,,
soep-test,al-raw,lwied,lwied,test-2001-ll,4,,,
soep-test,al-raw,lgesch1,lgesch1,test-2001-ll,5,,,
soep-test,al-raw,lab021,lab021,test-2001-ll,6,1,,
soep-test,al-raw,lab031,lab031,test-2001-ll,,2,,
soep-test,al-raw,lab041,lab041,test-2001-ll,,3,,
soep-test,al-raw,lab051,lab051,test-2001-ll,,4,,
soep-test,al-raw,lab061,lab061,test-2001-ll,,5,,
soep-test,al-raw,lab071,lab071,test-2001-ll,,6,,
soep-test,al-raw,lab081,lab081,test-2001-ll,,7,,
soep-test,al-raw,lkno,lkno,test-2001-ll,7,,,
soep-test,al-raw,lkind,lkind,test-2001-ll,8,,,
soep-test,al,al01,lsta1,test-2001-ll,1,,al-raw,lsta1
soep-test,al,al02,lzug01,test-2001-ll,2,,al-raw,lzug01
soep-test,al,al03,lzug02,test-2001-ll,3,,al-raw,lzug02
soep-test,al,al04,lwied,test-2001-ll,4,,al-raw,lwied
soep-test,al,al05,lgesch1,test-2001-ll,5,,al-raw,lgesch1
soep-test,al,al06,lab021,test-2001-ll,6,1,al-raw,lab021
soep-test,al,al07,lab031,test-2001-ll,,2,al-raw,lab031
soep-test,al,al08,lab041,test-2001-ll,,3,al-raw,lab041
soep-test,al,al09,lab051,test-2001-ll,,4,al-raw,lab051
soep-test,al,al10,lab061,test-2001-ll,,5,al-raw,lab061
soep-test,al,al11,lab071,test-2001-ll,,6,al-raw,lab071
soep-test,al,al12,lab081,test-2001-ll,,7,al-raw,lab081
soep-test,al,al13,lkno,test-2001-ll,7,,al-raw,lkno
soep-test,al,al14,lkind,test-2001-ll,8,,al-raw,lkind
soep-test,ap-raw,psex,psex,test-2001-pe,1,,,
soep-test,ap-raw,ppgeb,ppgeb,test-2001-pe,2,,,
soep-test,ap-raw,ppnat,ppnat,test-2001-pe,3,,,
soep-test,ap-raw,pfamst,pfamst,test-2001-pe,4,,,
soep-test,ap-raw,pfs0111,pfs0111,test-2001-pe,5,1,,
soep-test,ap-raw,pfs0211,pfs0211,test-2001-pe,,2,,
soep-test,ap-raw,pfs0311,pfs0311,test-2001-pe,,3,,
soep-test,ap-raw,pfs1111,pfs1111,test-2001-pe,,4,,
